LnID,DID,BLID,FLID,BNID,FNID,JCT,BLID2,BLID3,BLID4,FLID2,FLID3,FLID4,ClossID,Span,LCnt,Lno,LaneType,LimitVel,RefVel,RoadSecID,LaneChgFG,LinkWAID
1,0,0,776,2,1,0,0,0,0,0,0,0,0,1.136,1,1,0,30,30,0,0,0
2,0,783,103,784,3,0,0,0,0,0,0,0,0,0.998,1,1,0,30,30,0,0,0
3,0,113,114,114,4,0,0,0,0,0,0,0,0,1,1,1,0,30,30,0,0,0
4,0,124,125,125,5,0,0,0,0,0,0,0,0,1,1,1,0,30,30,0,0,0
5,0,133,134,134,6,0,0,0,0,0,0,0,0,0.795,1,1,0,30,30,0,0,0
6,0,134,135,135,7,0,0,0,0,0,0,0,0,1.034,1,1,0,30,30,0,0,0
7,0,135,136,136,8,0,0,0,0,0,0,0,0,0.886,1,1,0,30,30,0,0,0
8,0,136,137,137,9,0,0,0,0,0,0,0,0,0.872,1,1,0,30,30,0,0,0
9,0,137,138,138,10,0,0,0,0,0,0,0,0,0.935,1,1,0,30,30,0,0,0
10,0,138,139,139,11,0,0,0,0,0,0,0,0,0.66,1,1,0,30,30,0,0,0
11,0,140,141,141,12,0,0,0,0,0,0,0,0,0.593,1,1,0,30,30,0,0,0
12,0,150,151,151,13,0,0,0,0,0,0,0,0,0.616,1,1,0,30,30,0,0,0
13,0,156,157,157,14,0,0,0,0,0,0,0,0,0.647,1,1,0,30,30,0,0,0
14,0,162,163,163,15,0,0,0,0,0,0,0,0,0.777,1,1,0,30,30,0,0,0
15,0,169,170,170,16,0,0,0,0,0,0,0,0,1,1,1,0,30,30,0,0,0
16,0,176,177,177,17,0,0,0,0,0,0,0,0,1,1,1,0,30,30,0,0,0
17,0,183,184,184,18,0,0,0,0,0,0,0,0,1,1,1,0,30,30,0,0,0
18,0,190,191,191,19,0,0,0,0,0,0,0,0,1,1,1,0,30,30,0,0,0
19,0,199,200,200,20,0,0,0,0,0,0,0,0,1,1,1,0,30,30,0,0,0
20,0,208,209,209,21,0,0,0,0,0,0,0,0,1,1,1,0,30,30,0,0,0
21,0,217,218,218,22,0,0,0,0,0,0,0,0,1,1,1,0,30,30,0,0,0
22,0,225,226,226,23,0,0,0,0,0,0,0,0,1,1,1,0,30,30,0,0,0
23,0,227,228,228,24,0,0,0,0,0,0,0,0,0.65,1,1,0,30,30,0,0,0
24,0,229,230,230,25,0,0,0,0,0,0,0,0,0.969,1,1,0,30,30,0,0,0
25,0,231,232,232,26,0,0,0,0,0,0,0,0,0.924,1,1,0,30,30,0,0,0
26,0,234,235,235,27,0,0,0,0,0,0,0,0,1.034,1,1,0,30,30,0,0,0
27,0,237,238,238,28,0,0,0,0,0,0,0,0,0.785,1,1,0,30,30,0,0,0
28,0,240,241,241,29,0,0,0,0,0,0,0,0,1.146,1,1,0,30,30,0,0,0
29,0,242,243,243,30,0,0,0,0,0,0,0,0,1.048,1,1,0,30,30,0,0,0
30,0,244,245,245,31,0,0,0,0,0,0,0,0,1.035,1,1,0,30,30,0,0,0
31,0,247,248,248,32,0,0,0,0,0,0,0,0,0.884,1,1,0,30,30,0,0,0
32,0,250,251,251,33,0,0,0,0,0,0,0,0,1.069,1,1,0,30,30,0,0,0
33,0,253,254,254,34,0,0,0,0,0,0,0,0,0.989,1,1,0,30,30,0,0,0
34,0,269,270,270,35,0,0,0,0,0,0,0,0,1.061,1,1,0,30,30,0,0,0
35,0,285,286,286,36,0,0,0,0,0,0,0,0,1.057,1,1,0,30,30,0,0,0
36,0,301,302,302,37,0,0,0,0,0,0,0,0,1.076,1,1,0,30,30,0,0,0
37,0,317,318,318,38,0,0,0,0,0,0,0,0,1.058,1,1,0,30,30,0,0,0
38,0,349,350,350,39,0,0,0,0,0,0,0,0,1.059,1,1,0,30,30,0,0,0
39,0,393,394,394,40,0,0,0,0,0,0,0,0,1.032,1,1,0,30,30,0,0,0
40,0,437,438,438,41,0,0,0,0,0,0,0,0,1.067,1,1,0,30,30,0,0,0
41,0,470,471,471,42,0,0,0,0,0,0,0,0,1,1,1,0,30,30,0,0,0
42,0,474,475,475,43,0,0,0,0,0,0,0,0,0.749,1,1,0,30,30,0,0,0
43,0,477,478,478,44,0,0,0,0,0,0,0,0,0.876,1,1,0,30,30,0,0,0
44,0,480,481,481,45,0,0,0,0,0,0,0,0,0.776,1,1,0,30,30,0,0,0
45,0,484,485,485,46,0,0,0,0,0,0,0,0,1,1,1,0,30,30,0,0,0
46,0,488,489,489,47,0,0,0,0,0,0,0,0,1,1,1,0,30,30,0,0,0
47,0,491,492,492,48,0,0,0,0,0,0,0,0,1,1,1,0,30,30,0,0,0
48,0,494,495,495,49,0,0,0,0,0,0,0,0,1,1,1,0,30,30,0,0,0
49,0,497,498,498,50,0,0,0,0,0,0,0,0,1,1,1,0,30,30,0,0,0
50,0,500,501,501,51,0,0,0,0,0,0,0,0,1,1,1,0,30,30,0,0,0
51,0,503,504,504,52,0,0,0,0,0,0,0,0,1,1,1,0,30,30,0,0,0
52,0,511,512,512,53,0,0,0,0,0,0,0,0,1.062,1,1,0,30,30,0,0,0
53,0,513,514,514,54,0,0,0,0,0,0,0,0,0.92,1,1,0,30,30,0,0,0
54,0,514,1047,515,55,0,0,0,0,0,0,0,0,0.739,1,1,0,30,30,0,0,0
68,0,552,553,553,69,0,0,0,0,0,0,0,0,0.671,1,1,0,30,30,0,0,0
69,0,554,555,555,70,0,0,0,0,0,0,0,0,1.037,1,1,0,30,30,0,0,0
70,0,556,557,557,71,0,0,0,0,0,0,0,0,0.567,1,1,0,30,30,0,0,0
71,0,558,559,559,72,0,0,0,0,0,0,0,0,0.816,1,1,0,30,30,0,0,0
