PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,35.5954972,137.0957909,-1.4,-154.955,-52.372,7,5337,71,93
2,35.595426,137.0958745,-1.4,-176.905,-31.423,7,5337,71,93
3,35.5954223,137.0958746,-1.4,-178.041,-31.417,7,5337,71,93
4,35.5954544,137.0958738,-1.4,-168.163,-31.6,7,5337,71,93
5,35.5954917,137.0958729,-1.4,-156.66,-31.83,7,5337,71,93
6,35.595529,137.095872,-1.4,-145.159,-32.058,7,5337,71,93
7,35.5955575,137.0958708,-1.4,-136.378,-32.36,7,5337,71,93
8,35.5955635,137.0958677,-1.4,-134.537,-33.124,7,5337,71,93
9,35.5955676,137.0958635,-1.4,-133.269,-34.184,7,5337,71,93
10,35.5955697,137.0958568,-1.4,-132.6,-35.874,7,5337,71,93
11,35.5955696,137.0958499,-1.4,-132.648,-37.58,7,5337,71,93
12,35.5955693,137.095844,-1.4,-132.747,-39.08,7,5337,71,93
13,35.5955691,137.0958367,-1.4,-132.807,-40.896,7,5337,71,93
14,35.5955648,137.0957972,-1.4,-134.134,-50.799,7,5337,71,93
15,35.5955613,137.0957723,-1.4,-135.215,-57.028,7,5337,71,93
16,35.5955608,137.0957482,-1.4,-135.356,-63.071,7,5337,71,93
17,35.5955599,137.0957201,-1.4,-135.637,-70.095,7,5337,71,93
18,35.5955588,137.0956919,-1.4,-135.977,-77.155,7,5337,71,93
19,35.5955583,137.0956638,-1.4,-136.133,-84.189,7,5337,71,93
20,35.5955582,137.0956357,-1.4,-136.172,-91.228,7,5337,71,93
21,35.5955578,137.095597,-1.4,-136.277,-100.917,7,5337,71,93
22,35.595557,137.0955582,-1.4,-136.54,-110.653,7,5337,71,93
23,35.5955561,137.0955193,-1.4,-136.802,-120.385,7,5337,71,93
24,35.5955548,137.0954836,-1.4,-137.214,-129.325,7,5337,71,93
25,35.5955522,137.0954753,-1.4,-138.019,-131.408,7,5337,71,93
26,35.5955462,137.095467,-1.4,-139.854,-133.482,7,5337,71,93
27,35.595539,137.0954629,-1.4,-142.085,-134.514,7,5337,71,93
28,35.5955289,137.0954604,-1.4,-145.183,-135.138,7,5337,71,93
29,35.5955174,137.0954599,-1.4,-148.731,-135.253,7,5337,71,93
30,35.5955054,137.0954603,-1.4,-152.441,-135.149,7,5337,71,93
31,35.5954962,137.0954608,-1.4,-155.256,-135.046,7,5337,71,93
32,35.5954872,137.0954613,-1.4,-158.03,-134.914,7,5337,71,93
33,35.5954771,137.0954618,-1.4,-161.146,-134.781,7,5337,71,93
34,35.5954675,137.0954626,-1.4,-164.103,-134.573,7,5337,71,93
35,35.5954558,137.0954632,-1.4,-167.715,-134.433,7,5337,71,93
